"","topic","term","beta"
"1",1,"autre",0.00677630786662049
"2",1,"premier",0.00635889653421763
"3",1,"devoir",0.00632661434994451
"4",1,"épidémie",0.00462453081008309
"5",1,"pays",0.00449923390050508
"6",1,"000",0.00443105111389548
"7",1,"gouvernement",0.00396032961555441
"8",1,"covid",0.00387095483251072
"9",1,"jour",0.00369761896602364
"10",1,"certain",0.00359478821691403
"11",1,"ministre",0.00358549247342693
"12",1,"euro",0.00357126817494919
"13",1,"moins",0.00341420730994902
"14",1,"mois",0.00326016749711819
"15",1,"t",0.00321139096230076
"16",1,"nouveau",0.00319608101404581
"17",1,"grand",0.00312553304119846
"18",1,"alors",0.0030851560117772
"19",1,"année",0.00304679884483897
"20",1,"prendre",0.00293318399553556
"21",2,"juillet",0.00789580625295716
"22",2,"19",0.00512632763334145
"23",2,"premier",0.00484783294225345
"24",2,"devoir",0.00478994785119302
"25",2,"cas",0.00402127540814885
"26",2,"nombre",0.00365043354598019
"27",2,"coronavirus",0.00348449226112672
"28",2,"masque",0.0034309423441425
"29",2,"aller",0.00333259132592907
"30",2,"covid",0.0032471917846593
"31",2,"épidémie",0.00315678674941015
"32",2,"semaine",0.00312973061790951
"33",2,"très",0.0030984927270282
"34",2,"selon",0.00308725489176764
"35",2,"deux",0.00304619395866388
"36",2,"sans",0.00301989108288328
"37",2,"gouvernement",0.00301977246141756
"38",2,"jour",0.00299620905424495
"39",2,"euro",0.00296628817730968
"40",2,"après",0.00296616686739056
"41",3,"pays",0.00799881589461056
"42",3,"covid",0.00672000053585094
"43",3,"même",0.00581189212352512
"44",3,"autre",0.0057846552930783
"45",3,"depuis",0.00571794638212704
"46",3,"cas",0.00551942333263806
"47",3,"nouveau",0.0050898558286215
"48",3,"dont",0.00486558828411826
"49",3,"président",0.00485821335803343
"50",3,"000",0.00480098405935364
"51",3,"dernier",0.00477939030861679
"52",3,"si",0.0046869687577728
"53",3,"deux",0.00434547113683273
"54",3,"million",0.004244010894668
"55",3,"mois",0.00424361219079469
"56",3,"an",0.00416749125831178
"57",3,"annoncer",0.00354705625303271
"58",3,"également",0.00354639501265187
"59",3,"selon",0.00352006001340209
"60",3,"t",0.00347745466779996
"61",4,"octobre",0.00582606831239504
"62",4,"19",0.00564451764442329
"63",4,"même",0.00448429986365799
"64",4,"jour",0.00432661237479579
"65",4,"covid",0.00410928692964422
"66",4,"autre",0.00397731678870696
"67",4,"nouveau",0.0039502099987426
"68",4,"premier",0.00394138971630967
"69",4,"aller",0.00311108800387961
"70",4,"celui",0.0030964059689807
"71",4,"après",0.00306564939857491
"72",4,"deux",0.00303479463156054
"73",4,"monde",0.00299991888935125
"74",4,"t",0.00292426094743716
"75",4,"an",0.00289090250959053
"76",4,"heure",0.00280000801981684
"77",4,"dont",0.00275019296825082
"78",4,"gouvernement",0.00273863971735301
"79",4,"devoir",0.00273764792188731
"80",4,"crise",0.00271846511255783
"81",5,"chine",0.00972736060781093
"82",5,"coronavirus",0.00877966018504154
"83",5,"cas",0.00840480116578427
"84",5,"épidémie",0.00762976262854481
"85",5,"pays",0.00648930702584155
"86",5,"nouveau",0.00576968354480072
"87",5,"chinois",0.00573153834687003
"88",5,"février",0.00533970687632959
"89",5,"virus",0.00524292997667252
"90",5,"santé",0.00519845240542172
"91",5,"deux",0.0042135272466948
"92",5,"jour",0.00417156994491855
"93",5,"devoir",0.0040865123455963
"94",5,"annoncer",0.00400927843034244
"95",5,"autre",0.00392175995113365
"96",5,"premier",0.00377575419832928
"97",5,"après",0.00342677565047277
"98",5,"depuis",0.0033702417484213
"99",5,"quarantaine",0.00335676491011822
"100",5,"19",0.00330972129242992
"101",6,"covid",0.00888237381254656
"102",6,"france",0.00657034641606247
"103",6,"premier",0.00582805342610259
"104",6,"depuis",0.00518371820771311
"105",6,"entre",0.00491844381810636
"106",6,"deux",0.00479454177171842
"107",6,"mesure",0.00450835072624096
"108",6,"selon",0.00443741500727583
"109",6,"après",0.00442173435341717
"110",6,"jour",0.00430003042700232
"111",6,"président",0.00426452650453958
"112",6,"épidémie",0.00422409747208857
"113",6,"ministre",0.00417622528882001
"114",6,"où",0.00413404283744762
"115",6,"gouvernement",0.0039966069376171
"116",6,"contre",0.00391114272008606
"117",6,"sans",0.00379384101313213
"118",6,"heure",0.00373373517287637
"119",6,"passer",0.00360683760137201
"120",6,"prendre",0.00354075233809364
"121",7,"décembre",0.00652406450856648
"122",7,"19",0.00569673441949705
"123",7,"premier",0.00514408526046236
"124",7,"vaccin",0.0046274230063418
"125",7,"an",0.00379829662887637
"126",7,"devoir",0.0036965497806268
"127",7,"covid",0.00318469497094622
"128",7,"celui",0.00317287877040579
"129",7,"avant",0.00312357885794763
"130",7,"nouveau",0.00308227272813718
"131",7,"même",0.00305226653729532
"132",7,"si",0.00287807360804576
"133",7,"pays",0.00282309915466524
"134",7,"aller",0.00274926940937458
"135",7,"après",0.00273309897601776
"136",7,"européen",0.0027174522905872
"137",7,"autre",0.00271084001637621
"138",7,"public",0.00263071461134016
"139",7,"jour",0.00262433097538579
"140",7,"année",0.00259031739106744
"141",8,"19",0.0131299269057566
"142",8,"pays",0.0071067315741859
"143",8,"deux",0.00597141394868339
"144",8,"épidémie",0.00572007559673619
"145",8,"covid",0.00565203151402488
"146",8,"jour",0.00524212250056658
"147",8,"autre",0.00479676313618122
"148",8,"gouvernement",0.00475106957380717
"149",8,"si",0.00469251903336632
"150",8,"aller",0.00465724476845569
"151",8,"devoir",0.00424902885647166
"152",8,"celui",0.00423567069441339
"153",8,"après",0.00420934192759391
"154",8,"santé",0.00412650922234567
"155",8,"cas",0.00387689169961499
"156",8,"t",0.00383986237937092
"157",8,"fin",0.00382059319322255
"158",8,"moins",0.00368797977202836
"159",8,"2",0.00366477599888358
"160",8,"entre",0.00360013244972287
"161",9,"juin",0.00648307402743687
"162",9,"france",0.00573746337473601
"163",9,"crise",0.00460915167859139
"164",9,"nouveau",0.00452385915017335
"165",9,"celui",0.00411837044673563
"166",9,"président",0.00403215032880313
"167",9,"même",0.00381109524399928
"168",9,"deux",0.0035244641791885
"169",9,"devoir",0.0034472476462467
